location_id,global_region,country,location,population
6,Latin America,Brazil,Sao Paulo #2,12325232
10,South Asia ,India,National,1389797253
21,Africa,Ethiopia,Addis Ababa #3,3570000
23,Africa,Mozambique,Lichinga,290000
75,East Asia,China,Wuhan #2,11081000
76,South Asia,India,Kashmir (whole region),7600000
92,East Asia,Laos,National Study,7275555
224,Latin America,Brazil,Carmópolis,19756
225,Latin America,Brazil,Nepomuceno,26882
226,Africa,Ethiopia,Addis Ababa #2,3570000
230,South Asia ,India,Madurai district,3266000
