location_id,country,location,mean,p025,p975
5,Brazil,Maranhao,38.0824148,35.6326981,40.6058233
11,India,Delhi,43.2281381,39.8717325,46.9119282
12,India,Karnataka,43.4355699,39.1484771,47.944534
13,India,Pimpri-Chinchwad,40.6714369,38.3118381,43.1881775
16,India,Puducherry,20.5740072,17.307287,24.1133659
18,India,Paschim Medinipur (West Bengal),12.4880706,5.6474799,21.8299715
19,India,Chennai,26.2628076,24.8915761,27.6842272
24,Mozambique,Maputo city,3.7956225,3.1215854,4.4956807
36,Kenya,Nairobi County,31.1439224,27.3136306,35.0318089
38,Argentina,Buenos Aires City,11.3602581,9.6811495,13.0833095
40,Argentina,Municipality of Hurlingham,14.9274205,12.4132645,17.6574713
42,Bolivia,Santa Cruz,21.2527409,18.323146,23.860572
44,Colombia,Leticia,51.1284128,48.421478,53.9096906
45,Colombia,Barranquilla,48.6522429,45.9438076,51.4368052
46,Colombia,Medellin,24.0417635,22.1330795,26.0229933
48,Colombia,Bucaramanga,28.2543441,25.8202748,30.754594
49,Colombia,Cucuta,35.4746722,32.9527836,38.0609473
50,Colombia,Villavicencio,29.8918167,27.5952851,32.3114571
51,Colombia,Bogota,26.4952555,25.145435,27.9119134
52,Colombia,Cali,26.5388166,24.534206,28.571581
54,Colombia,Ipiales,30.4208263,28.0419033,32.8852988
59,Peru,Cusco Province,36.703867,34.2327919,39.3327864
60,Peru,Lambayeque,34.6216116,30.893042,38.9476339
63,Peru,Lima (Metropolitana) + Callao,21.6653759,19.8474923,23.5243603
64,Peru,"Iquitos, Loreto",65.064571,61.0192739,69.0840798
73,Brazil,Sao Paulo City,25.9849598,23.4111476,28.6782244
74,Brazil,Foz do Iguaçu,12.812079,9.6556724,15.3485966
77,India,Kashmir: Srinagar district,50.4331101,47.0403355,53.9804997
78,Nepal,National Study,11.5561436,8.5129335,14.168598
80,Ethiopia,Addis Ababa,3.4065898,2.2054503,4.790617
81,Iran,National Study,13.030974,10.9760621,14.9049902
82,Mexico,National Study,26.1574802,25.1160607,27.3330056
83,India,Odisha: Bhubaneswar,2.1801385,1.1984651,3.6011394
84,India,Odisha: Berhampur,29.4231216,24.2889817,35.5555309
90,South Africa,Mitchells Plain,45.4036356,39.1378865,52.0429697
98,Ethiopia,Dire Dawa,4.9952361,2.9086198,7.6667384
102,Zambia,Ndola + 5 other districts,2.6735905,0.9221899,3.8562895
120,Russia,St. Petersburg,9.8947443,7.1695548,12.5558616
121,China,Wuhan #1,4.0618364,3.610167,4.5574688
123,China,Hubei province (excluding Wuhan),0.6755241,0.5014668,0.8759364
125,Pakistan,Karachi,38.3542849,29.1007206,48.2433494
126,Pakistan,Lahore,46.2157987,43.6840985,48.8962367
140,India,Mumbai (3 wards),51.9917999,49.3073842,54.8178886
144,Poland,Katowice region,12.200625,9.9648643,14.5936817
148,Colombia,Cordoba: 8 cities,37.7906998,30.0379074,43.6935072
156,Jordan,National Study,33.313514,30.2562834,36.621812
192,Hungary,National Study,0.4542844,0.1992923,0.7358026
201,India,Tamil Nadu (iFlash districts),43.9440959,41.4616347,46.4126142
202,India,Tamil Nadu (Vitros districts),25.8569643,24.7322707,27.3016252
203,India,Malegaon (city population),41.0888542,34.2495173,48.3369965
209,Brazil,Cuiaba,17.90731,14.8564932,21.4302894
216,Brazil,Varzea Grande,27.4823777,22.9962485,32.5866439
218,Brazil,Pitangueiras,7.0556983,3.0579113,11.5379443
220,Brazil,Mato Grosso (8 cities),11.3167244,9.5178128,13.4713909
221,Paraguay,Asuncion + Central Department,21.3052439,14.9834902,26.526539
17,India,Pune (five prabhags/subwards),54.7616864,50.5875322,60.0997743
22,Mozambique,Beira,5.4662566,4.6789315,6.2932313
25,Mozambique,Matola district (subset of Maputo province),3.5958496,2.9775326,4.2240068
26,Mozambique,Nampula,4.3874135,2.9048858,5.7654532
27,Mozambique,Pemba,2.5680723,1.5533282,3.7590499
28,Mozambique,Quelimane,3.014578,2.4048401,3.6365507
29,Mozambique,Tete,0.8704832,0.4164895,1.4597958
30,Mozambique,Chimoio,0.5112823,0.261384,0.8121553
31,Mozambique,Chakwe,5.5126351,4.5501108,6.5359124
32,Mozambique,Maxixe,4.9939941,4.175386,5.8675532
33,Mozambique,Massinga,7.3327998,5.9161383,8.8560254
34,Mozambique,Xai-Xai,3.7166176,3.0638365,4.3689047
37,Nigeria,Niger State,24.6886234,19.2916376,30.4314546
55,Dominican Republic,10 Provinces,7.5845167,4.8071077,10.3011238
58,Ecuador,Cuenca,12.9396245,11.1773536,14.6464513
88,India,Odisha: Rourkela,23.9737012,21.810581,26.2485514
94,Albania,"Tirana (city, not county)",51.7126448,46.936972,57.663353
96,Cameroon,Cite Verte,31.8100653,28.6564214,35.2140695
97,Ethiopia,"Jimma town, Seka, Manna",0.6713039,0.1492266,1.4271181
100,South Africa,Jouberton,15.4791052,12.6161363,18.5818395
101,South Sudan,Juba,32.4799028,28.7091719,35.9405121
105,Iraq,"Iraq: Duhok (city, not governorate)",62.7599937,59.0705933,66.5676529
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",8.7227882,7.7806364,9.9125933
108,India,"Jabalpur (city, not district)",37.0272987,34.4777525,39.672205
122,India,"Indore (city, not district)",9.2187566,7.2468951,10.6765409
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",0.1136445,0.0574092,0.1871463
128,Democratic Republic of Congo,Kinshasa,15.6279574,13.4576614,17.9588182
129,Libya,Benghazi,0.3377496,0.0400329,0.9310883
151,Argentina,"AMBA (Metropolitan Area of ​​Buenos Aires), 30 barrios",14.7972215,13.5452708,15.9854136
206,India,Hyderabad,54.5314819,53.2476828,56.3645714
